id,name,cluster,postcode,lat,lon,length
s2888,Fagottstraße,1,13127,52.59180617870367,13.42405727983149,219
s2891,Fahlenbergstraße,1,12589,52.43141738587927,13.71870159782509,1045
s2892,Fählmannweg,1,14089,52.45609149857888,13.126108443269915,564
s2893,Fährallee,1,12527,52.3469920419275,13.641904689960041,559
s2894,Fahremundstraße,1,13593,52.51480902550747,13.172463096648132,725
s2895,Fahrenheitstraße,1,12207,52.41372864218492,13.31608957600726,269
s2896,Fahrlander Weg,1,13591,52.52222679767056,13.127574260086021,1035
s2897,Fährstraße,1,13503,52.60728002196527,13.207302800114592,493
s2898,Fährweg,2,13587,52.5677253,13.2260931,9
s2899,Falckensteinstraße,2,12307,52.38004457093162,13.403812288820493,449
s2900,Falckensteinstraße,1,10997,52.49899781923831,13.44284507968248,631
s2906,Falkenhagener Straße,1,13585,52.54661392271765,13.199012400871446,930
s2907,Falkenhagener Tor,1,13585,52.54941570986598,13.19233256845772,188
s2908,Falkenhausenweg,1,12249,52.42412836513412,13.36358993200575,793
s2909,Falkenhorststraße,1,13505,52.584681610299874,13.223550956378682,483
s2910,Falkenplatz,1,13505,52.58524847583665,13.227942993090682,216
s2911,Falkenried,1,14195,52.46148261512885,13.285285589914935,397
s2924,Falkplatz,2,12053,52.47686931898358,13.429377809353316,0
s2925,Falkstätter Straße,1,12621,52.482492945996725,13.567938056910666,627
s2926,Falkstraße,1,12053,52.47758611431791,13.428929273084348,64
s2927,Falstaffweg,1,13593,52.51291606300282,13.177227418812514,687
s2969,Feldlerchenweg,1,13469,52.61382638114269,13.357563529306383,385
s2901,Falkenberger Chaussee,1,13057,52.566121103685916,13.513100050429163,5750
s2902,Falkenberger Fußsteig,1,13057,52.56979512097663,13.532794108552801,1678
s2903,Falkenberger Straße,1,13088,52.55572342622135,13.477374442303848,1452
s2904,Falkenbrunnstraße,1,12524,52.41401263080274,13.56220275181195,727
s2905,Falkendamm,1,12557,52.42205384286229,13.594822144877387,253
s2968,Feldgrabensteig,1,13589,52.5517492,13.15614795,110
s2912,Falkenseer Chaussee,1,13589,52.54996278256129,13.172118228836032,6321
s2913,Falkenseer Damm,1,13585,52.54294233552442,13.198567341090325,1609
s2914,Falkenseer Platz,1,13597,52.53994194269428,13.203345022813199,320
s2915,Falkensteiner Straße,1,14199,52.480935154219004,13.310021964940109,325
s2916,Falkenstraße,1,12526,52.39110022306434,13.576106385919628,173
s2917,Falkentaler Steig,1,13467,52.62495153714685,13.297753814656716,1458
s2918,Falkenweg,1,12435,52.4795237,13.472648999999999,117
s2919,Falkenweg,2,13437,52.587106042322866,13.348110151127951,280
s2920,Falkenweg,3,13351,52.55254520519044,13.326545734852383,177
s2921,Falkenweg,4,13089,52.570728200000005,13.430909700000003,46
s2922,Falkenweg,6,12307,52.3975897,13.36482555,191
s2923,Falkplatz,1,10437,52.545609405908124,13.405937079169894,14
s2928,Falterweg,1,14055,52.491605090445205,13.261710537698715,275
s2929,Falterweg,2,10439,52.55666108886891,13.400687050941466,110
s2930,Falterzeile,1,13059,52.5834074,13.53279685,54
s2931,Fangschleuser Weg,1,12589,52.44049546298764,13.703193941764784,215
s2932,Fanningerstraße,1,10365,52.51413302858704,13.496695771995578,877
s2933,Fanny-Zobel-Brücke,1,12437,52.44302248499735,13.478930662074115,33
s2934,Fanny-Zobel-Straße,1,12435,52.49650087122575,13.4559684581583,346
s2935,Faradayweg,1,14195,52.44925779162669,13.283019944297996,382
s2936,Färberstraße,1,12555,52.44693880608593,13.566161765646912,378
s2937,Farmergasse,1,12689,52.569702509426115,13.558114961850572,63
s2938,Farnstraße,1,12439,52.44976542491111,13.533883241551639,298
s2939,Fasanenplatz,1,10719,52.498324490563775,13.327352600555935,109
s2940,Fasanenstraße,3,12526,52.39109429236628,13.572612175623293,471
s2941,Fasanenstraße,2,10623,52.5038516853921,13.327584196231633,1984
s2942,Fasanenweg,1,13403,52.574410200519154,13.312241193124027,133
s2943,Fasanenweg,2,13125,52.61758338581253,13.46427969404548,471
s2944,Fasanerie,1,13439,52.60655301742401,13.367069051169578,364
s2945,Fasanerieallee,1,10787,52.51224572918089,13.347446889203788,430
s2946,Fasoltstraße,1,13089,52.57253352473177,13.440786882841312,347
s2947,Fastolfsteg,1,12685,52.537146400000005,13.550517599999997,89
s2948,Faucherweg,1,13599,52.541045244825526,13.235881771822353,425
s2949,Faulhornweg,1,12107,52.424319980939295,13.400712578537467,252
s2950,Fäustelweg,1,13437,52.59093985,13.34365395,117
s2951,Fauststraße,1,12623,52.514591422156776,13.609239818689781,178
s2952,Favierweg,1,13127,52.6097534,13.415043400000002,196
