id,name,cluster_id,postcode,lat,lon
9586,Semperstraße,1,12159,52.47150444294338,13.34118155996361
9587,Sendener Weg,1,13507,52.57195040347541,13.270912024714093
9588,Senefelderstraße,1,10437,52.54168609834237,13.422899644698383
9589,Senegalstraße,1,13351,52.547597910158935,13.33823487426149
9590,Senftenberger Ring,1,13435,52.60095694884889,13.357323762611179
9591,Senftenberger Straße,1,12627,52.53831356732519,13.59932246890445
9592,Senheimer Straße,1,13465,52.639973111893674,13.292053820865341
9594,Sensburger Allee,1,14055,52.51062041257792,13.25205754300276
9595,Sensenpfad,1,12683,52.51773812394297,13.562166721128557
9596,Sentastraße,1,12159,52.47573105,13.3293796
9597,Senziger Straße,1,12621,52.511064768048925,13.578371273552872
9598,Senziger Zeile,1,13435,52.59740885,13.34191785
9599,Senzker Straße,1,13591,52.54118404017204,13.166762918390532
9600,Separationsweg,1,13627,52.53954195723085,13.314038422275262
9601,Seppenrader Weg,1,13507,52.57300895,13.270566300000002
9602,Septimerstraße,1,13407,52.56470804512713,13.342156087194164
9603,Sesenheimer Straße,1,10627,52.51041015091091,13.307758438624212
9604,Setheweg,1,14089,52.447286697327065,13.130402428698613
9605,Seumestraße,1,10245,52.509147185014925,13.461640057944896
9606,Severingstraße,1,12351,52.43053738229724,13.44835552801636
9618,Sickingenstraße,1,10553,52.5316440085983,13.32136112782781
9619,Siddharthaweg,1,13156,52.57711755,13.39363555
9620,Siebenendenweg,1,14163,52.448514700000004,13.247942949999997
9621,Sieboldstraße,1,12524,52.406011203211754,13.539808362370787
9622,Siebweg,1,12526,52.398656214750865,13.566636943904358
9623,Siedelmeisterweg,1,13403,52.576615125286956,13.321509839141141
9624,Siedlung Roedernau,1,13407,52.58469,13.3444184
9890,Stargardtstraße,1,13407,52.56631177788841,13.360902761216986
9607,Sewanstraße,1,10319,52.496072898868086,13.51109154853453
9608,Seydelstraße,1,10117,52.509834434009115,13.403518185317138
9609,Seydlitzstraße,2,10557,52.52676441273182,13.360282297763439
9610,Seydlitzstraße,4,12307,52.37915485220745,13.409075305914097
9611,Seydlitzstraße,1,12249,52.4305546229931,13.339854308759431
9612,Seylerstraße,1,14109,52.42041334495692,13.15659133737683
9613,Shawweg,1,14055,52.506774750000005,13.238499899999999
9614,Sibeliusweg,1,14089,52.455107163265055,13.149932236496815
9615,Sibyllenstraße,1,12247,52.43601733698692,13.342951137267548
9616,Sichelsteig,1,13159,52.6309360641471,13.386937839147595
9617,Sickingenbrücke,1,10553,52.53023592594183,13.313897483779655
9661,Silberberger Straße,1,12489,52.43793579429389,13.54074793157183
9662,Silberdistelweg,1,12357,52.437003049999994,13.487436699999998
9625,Siedlungsring,1,13125,52.62050917829878,13.498663358637609
9626,Siedlungsstraße,1,13125,52.63170633099785,13.500781614011817
9627,Siedlungsweg,1,13591,52.51942335160262,13.136747659283596
9628,Siefersheimer Straße,1,12559,52.4137513,13.668941199999999
9629,Siegburger Straße,1,14197,52.4768858472536,13.315018723254422
9630,Siegener Straße,1,13583,52.546305804114056,13.176925061484495
9631,Siegertweg,1,12101,52.47303167448055,13.382264619553606
9632,Siegfried-Aufhäuser-Platz,1,12055,52.47302484294995,13.454932305505269
9633,Siegfried-Baruch-Weg,1,13158,52.583535533835345,13.370228207167246
9634,Siegfried-Berger-Straße,1,12557,52.4295313036674,13.580840453383233
9635,Siegfriedstraße,2,12623,52.5159838,13.6114465
9636,Siegfriedstraße,4,13156,52.58234562378383,13.411353109855597
9637,Siegfriedstraße,5,12051,52.46766279563327,13.429553631047218
9648,Siemensstraße,2,10551,52.53297758160554,13.33417622700769
9663,Silbergrasweg,1,12439,52.4487161323952,13.540647061237156
9664,Silberhammerweg,1,13503,52.61995385456482,13.226975625237387
9638,Siegfriedstraße,1,10365,52.523074360029135,13.499572323686127
9639,Sieglindestraße,1,12159,52.4766089,13.329439700000002
9640,Siegmarstraße,1,12683,52.53103209075779,13.573937497066725
9641,Siegmunds Hof,1,10555,52.5156600969072,13.335827330720626
9642,Siegstraße,1,13125,52.607159643482916,13.463626600905956
9643,Siekeweg,1,12309,52.38973364757248,13.425554952858233
9644,Sielower Weg,1,12527,52.38808235308237,13.637460850342496
9645,Siemensdamm,1,13627,52.53391805793633,13.28234336673771
9646,Siemenssteg,1,10587,52.52073205,13.312046500000001
9647,Siemensstraße,1,12459,52.46401400623017,13.510010743110493
9649,Siemensstraße,3,12247,52.44317720244341,13.335274370738661
9650,Siemenswerderweg,1,13595,52.507953121571695,13.206630296537332
9651,Siepesteig,1,14165,52.41724531470872,13.249358796897022
9652,Sieversufer,1,12359,52.46051846287891,13.450276981675268
9653,Sigismundkorso,1,13465,52.630194756902185,13.277923183352973
9654,Sigismundstraße,1,10785,52.507743027975366,13.366412795462315
9655,Sigmaringer Straße,1,10713,52.48960406817138,13.319372115282595
9656,Sigmund-Bergmann-Straße,1,13587,52.5584976063285,13.219680534784379
9665,Silbersteinstraße,1,12051,52.46641065274893,13.431746068146726
9666,Silberweidenweg,1,10365,52.520206185466435,13.492197237743882
9667,Silingenweg,1,14052,52.507637155502856,13.262686432865271
9668,Silvesterweg,1,13467,52.62259078117903,13.308850986622504
9669,Silvio-Meier-Straße,1,10247,52.51573346561165,13.463271516592982
9670,Silzer Weg,1,12209,52.41035332764031,13.33447894765559
9671,Simmelstraße,1,13409,52.56539456093449,13.366852159331211
9672,Simon-Bolivar-Straße,1,13055,52.537715584588675,13.487484641005167
9673,Simon-Dach-Straße,1,10245,52.51036019579193,13.456407187757405
9674,Simonring,1,13599,52.54139376372819,13.23892574465421
9675,Simplonstraße,1,10245,52.50662296461143,13.46221140905936
9676,Simpsonweg,1,12305,52.399721365700515,13.393823592650103
9677,Simsonweg,1,10557,52.51720323462317,13.37549328815614
9678,Singdrosselsteig,1,13629,52.55066232908197,13.270460700804
9679,Singener Weg,1,14163,52.42830000417573,13.24137677429032
9680,Singerstraße,1,10243,52.51556437112758,13.428726582128553
9681,Sinsheimer Weg,1,12059,52.484687468599795,13.452516958403866
9682,Sinziger Straße,1,10318,52.485569149999996,13.528675450000001
9683,Siriusstraße,1,12524,52.40184778443954,13.524449138987865
9684,Siriusstraße,2,12057,52.46842497524039,13.466114466090353
9685,Sittener Zeile,1,12205,52.42648089202561,13.299105908180028
9686,Sittestraße,1,13437,52.58042997856136,13.338378775851345
9687,Sitzendorfer Straße,1,12687,52.55833825436423,13.573795890784448
9688,Siverstorpstraße,1,13125,52.61185968153701,13.491750423533544
9689,Skalitzer Straße,1,10997,52.49934041651104,13.428121833327438
9690,Skandinavische Straße,1,10317,52.512073243527006,13.503595723360913
9691,Skarbinastraße,1,12309,52.39328710397586,13.42249509652608
9692,Skirenweg,1,14052,52.507521384180805,13.264462912784712
9693,Skladanowskystraße,1,13156,52.58117186505793,13.392557543426339
9694,Skutaristraße,1,12109,52.44587797951423,13.403341994173827
9695,Slabystraße,1,12621,52.520593118303644,13.608589570306952
9696,Slabystraße,2,12459,52.45870700950516,13.531137634356812
9697,Slatdorpweg,1,14163,52.438626697366246,13.228211228715178
9698,Sleipnerplatz,1,13089,52.57375044076928,13.442419258067824
9699,Sleipnerstraße,1,13089,52.57570569226177,13.437750687033914
9700,Slevogtweg,1,12557,52.41572360000001,13.594640449999998
9701,Smetanastraße,1,13088,52.54726962169605,13.459923993484729
9702,Smyrnaer Weg,1,12109,52.44085245,13.400144649999998
9703,Sobernheimer Straße,1,12559,52.408655106879436,13.657985240309792
9704,Sodener Straße,1,14197,52.472806180000234,13.304213899582674
9705,Sodenstraße,1,12309,52.396237065624554,13.421107957595858
9706,Söderblomweg,1,12355,52.41818791413584,13.470462701641178
9707,Sodtkestraße,1,10409,52.54660518509539,13.43345009889424
9708,Soester Straße,1,12207,52.41517590855898,13.307743971521255
9709,Sohnreystraße,1,12169,52.45051365110067,13.351297806529255
9710,Söhtstraße,1,12203,52.437236503746846,13.310010896543211
9711,Sokratesweg,1,10318,52.490253049819984,13.523122385162308
9712,Soldauer Allee,1,14055,52.506707663080256,13.259648795125262
9715,Soldiner Straße,3,12305,52.40968914346923,13.413769925450994
9716,Soldiner Straße,1,13359,52.55888546882539,13.385557048431727
9717,Solferinostraße,1,13403,52.571214242200575,13.333263474632153
9718,Solinger Straße,1,10555,52.51971502764243,13.33480821282894
9719,Söllerpfad,1,13465,52.6387219,13.2831598
9720,Sollingzeile,1,13589,52.55259673578191,13.174215459803506
9721,Sollmannweg,1,12353,52.42250821302382,13.465436594143164
9722,Sollstedter Straße,1,13055,52.5367002573668,13.508175120520042
9723,Solmsstraße,1,10961,52.49189935047843,13.392729727460004
9724,Solonplatz,1,13088,52.549123328429026,13.462141411611013
9725,Solquellstraße,1,13467,52.621826940870825,13.315049652030178
9726,Soltauer Straße,1,13509,52.579038548000156,13.30558517894323
9727,Sommerfelder Straße,1,13509,52.5811112,13.3013568
9728,Sommerfieldring,1,14109,52.415800927776,13.142023606264017
9729,Sömmeringstraße,1,10589,52.5233828042854,13.30613583607234
9730,Sommerstraße,1,13409,52.573135497406696,13.37644168641843
9731,Sommerweg,2,13403,52.57088308780915,13.304489939353767
9737,Sondershauser Straße,1,12249,52.41667721039714,13.341989067520348
9738,Sonneberger Weg,1,12209,52.421476111020105,13.329457788157551
9739,Sonnenallee,1,12059,52.474923402294706,13.45364817032903
9740,Sonnenblumensteig,1,13159,52.629496591084866,13.385830172616409
9741,Sonnenblumenweg,1,12157,52.46752586025494,13.354424837531718
9742,Sonnenburger Straße,1,10437,52.54783270308906,13.40758189933967
9743,Sonnenhof,1,14055,52.49250242726817,13.259212560976337
9744,Sonnenhöhe,1,12157,52.459723,13.35279015
9745,Sonnenscheinpfad,1,12277,52.4257998,13.36733095
9746,Sonnenwalder Weg,1,13503,52.62366641921809,13.241050242872921
9747,Sonnenweg,1,12557,52.43361299201792,13.569811604904586
9748,Sonnenweg,2,10439,52.55696004665704,13.401283918783498
9749,Sonnenweg,3,10589,52.52840141928574,13.306981728564619
9750,Sonnenweg,4,13158,52.59719225,13.41663325
9751,Sonnenweg,5,12101,52.481686540571346,13.372913235369621
9752,Sonntagstraße,1,10245,52.50622510809616,13.465687084960829
9753,Soonwaldstraße,1,13086,52.5596658040336,13.457278421229075
9754,Soorstraße,1,14050,52.51300497527235,13.276894367677512
9755,Sophie-Charlotten-Straße,1,14059,52.51703217643295,13.287194856753008
9756,Sophie-Charlotte-Platz,1,14059,52.51101635467232,13.296553890398911
9778,Späthsfelder Weg,1,12437,52.448339762314,13.479300485206817
9757,Sophie-Charlotte-Straße,1,14169,52.44464637062818,13.261173949954276
9758,Sophienstraße,2,10178,52.525652735168435,13.4008120935884
9759,Sophienstraße,3,10317,52.50599534100064,13.495737114939342
9760,Sophienstraße,4,12203,52.442830574517984,13.303337144321565
9761,Sophie-Taeuber-Arp-Weg,1,12205,52.42808796140678,13.296732275134334
9762,Sorauer Straße,1,10997,52.49865568494277,13.438209314282611
9763,Sorbenstraße,1,12524,52.41449693788077,13.547696917072987
9764,Sotzmannstraße,1,13581,52.52467656894938,13.182419823351818
9765,Spachtelweg,1,13437,52.59011254999999,13.340951450000002
9766,Spandauer Burgwall,1,13581,52.52754260442912,13.198004307564323
9771,Spandauer Straße,2,10178,52.519380044913866,13.40574283374692
9772,Spanheimstraße,1,13357,52.552056659268025,13.390508538027417
9773,Spanische Allee,1,14129,52.43404474078359,13.206989532238023
9774,Spargelweg,1,13627,52.54387360479828,13.299962241065346
9767,Spandauer Damm,1,14050,52.51973898609155,13.271361472329586
9768,Spandauer Havelpromenade,1,13599,52.55749814614611,13.22459304665717
9769,Spandauer-See-Brücke,1,13587,52.5558118,13.22191075
9770,Spandauer Straße,3,13591,52.53534192883306,13.15060373308043
9775,Sparnecker Weg,1,14089,52.46462855353898,13.130698661520364
9776,Sparrstraße,1,13353,52.54160476810135,13.360239344326098
9777,Spatenweg,1,12683,52.51706897455018,13.561342681524595
9779,Späthstraße,1,12437,52.451593464106715,13.464008053026937
9780,Spatzensteig,1,10318,52.47810345473293,13.51052186643988
9781,Spatzenweg,1,13599,52.55965046338926,13.229753057667775
9782,Spatzenwinkel,1,10829,52.46554225,13.3571342
9783,Spechtstraße,2,12526,52.39028704893798,13.568244670669737
9784,Spechtstraße,3,14195,52.46183507412402,13.27748303274031
9785,Spechtstraße,1,13505,52.58615508724593,13.231708929794351
9786,Spechtweg,1,13089,52.57002539933871,13.433556723092847
9787,Speerweg,1,13465,52.634638515117764,13.26736594238381
9788,Spektebrücke,1,13591,52.545323977618146,13.160903541437607
9789,Spekteweg,1,13583,52.54367025265184,13.176667656560237
9790,Spenerstraße,1,10557,52.52187154473159,13.35319361331193
9791,Sperberstraße,1,13505,52.58738658813573,13.225108318175552
9792,Sperberstraße,2,12526,52.396524546584956,13.575983464944475
9793,Sperberweg,2,13125,52.61238918849348,13.457717983014788
9794,Sperberweg,1,13351,52.55321954440356,13.326920646714155
9795,Sperberweg,3,12277,52.3980939,13.36094225
9797,Sperenberger Straße,1,12277,52.401236451533,13.378847558821061
9798,Sperlingsgasse,1,13595,52.508793011718396,13.187360333610824
9799,Sperlingsgasse,2,13349,52.56129510439702,13.346377365946196
9800,Sperlingsgasse,4,10178,52.51442029912812,13.401905243721457
9801,Sperlingsgasse,3,12347,52.45146981609323,13.418803190843715
9802,Sperlings Ruh,1,14165,52.40971114679462,13.26262846590187
9803,Sperlingsweg,1,14165,52.4081128,13.259331300000001
9804,Sperlingsweg,2,10589,52.52811698762165,13.307970960849438
9805,Sperlingsweg,3,13125,52.61627237784979,13.46225994549906
9806,Spessartstraße,1,14197,52.47578239812876,13.316895692124309
9807,Speyerer Straße,1,10779,52.49291139399297,13.344298238568545
9808,Spichernstraße,1,10777,52.49726469531168,13.332478207625465
9809,Spiegelweg,1,14057,52.5077619480588,13.284161238404444
9810,Spiekermannstraße,1,13189,52.55395826766985,13.427756382093106
9811,Spielhagenstraße,1,10585,52.5128393113739,13.303225774066448
